Ref,Qnty,Value,Mfr. No:,Cmp name,Footprint,Description,Vendor
"C1, C2, C6, C7, ",4,0.47u,GRM31C5C1E474JE01L,C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Unpolarized capacitor, small symbol",
"C3, C4, C5, C8, C9, C10, ",6,100u,EEU-FC1V101,CP_Small,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,"Polarized capacitor, small symbol",
"C11, ",1,100n,GCM21BR72A104KA37L,C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,"Unpolarized capacitor, small symbol",
"C12, C13, C14, C15, ",4,330u,EEU-FC1V222,CP_Small,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,"Polarized capacitor, small symbol",
"D1, D2, D3, D4, ",4,1n4148,1N4148W_R2_00001,D_Small,Diode_SMD:D_SOD-123,"Diode, small symbol",
"D5, ",1,LED_Small,Device:LED_Small,LED_Small,LED_THT:LED_D5.0mm,"Light emitting diode, small symbol",
"J1, ",1,L_In,,Conn_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,R_In,,Conn_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J3, ",1,L_Out,,Conn_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J4, ",1,R_Out,,Conn_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J5, ",1,AC_In,,Conn_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"L1, L2, ",2,3u3,SRP1265A-3R3M,L_Small,Inductor_SMD:L_Bourns_SRP1245A,"Inductor, small symbol",
"PS1, PS2, ",2,IRM-20-15,IRM-20-15,IRM-20-15,Converter_ACDC:Converter_ACDC_MeanWell_IRM-20-xx_THT,15V 1.4A 20W miniature AC-DC module-type power supply MeanWell,
"PS3, ",1,IRM-01-3.3,IRM-01-3.3,IRM-02-3.3,Converter_ACDC:Converter_ACDC_MeanWell_IRM-02-xx_THT,3.3V 2W miniature AC-DC module-type power supply MeanWell,
"Q1, Q3, ",2,MJE15032,MJE15032G,Q_PNP_BCE,Package_TO_SOT_THT:TO-220-3_Vertical,"PNP transistor, base/collector/emitter",
"Q2, Q4, ",2,MJE15033,MJE15033G,Q_PNP_BCE,Package_TO_SOT_THT:TO-220-3_Vertical,"PNP transistor, base/collector/emitter",
"R1, R9, ",2,22k,RT1206FRE0722KL,R_Small,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Resistor, small symbol",
"R2, R3, R10, R11, ",4,1k,RT1206FRE071KL,R_Small,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Resistor, small symbol",
"R4, R12, ",2,3k3,RT1206FRE073K3L,R_Small,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Resistor, small symbol",
"R5, R6, R13, R14, ",4,6k8,RT1206FRE076K8L,R_Small,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Resistor, small symbol",
"R7, R8, R15, R16, ",4,10r,RT1206FRE0710RL,R_Small,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Resistor, small symbol",
"U1, ",1,LM4562,LM4562NA/NOPB,LM4562,Package_DIP:DIP-8_W7.62mm_Socket,"Dual High-Performance, High-Fidelity Audio Operational Amplifier, DIP-8/SOIC-8/TO-99-8",
